id,latitude,longitude,width,height,size,name,description,caption,good
1031,42,-93,453,604,59,1237 2002,1237 2002,370 238,0
1032,42,-71,540,720,4,1744 976 483,,1688 314 1255 1817 1823 740 1972 2105 1148,0
1033,-29,24,540,720,40,462 2123 1766 1955 20 2006 483,,830 2007 1391 2084 1177 748 1001 1903 1958 1870 1914 2096 1920 853 1898 2107 919 1348 1354 177 276 628 782 546 51 370 645 1118 513 1162 1415 920 1949 244 156 2059 1333 1905 855 679 1746 1262 712 2076 1350 272 1295 316 2054 1823 1499 564 762 1455 949 1340 1368 1423 1302 1731 290 1104 1907 868 186,1
1034,10,-83,604,453,115,1048,440 154 748 1905 1504 712 1302,1130 731 921 807 1092 712 2080 484 1900 1520 684 1112 1682 1378 1986 1302 1796 276 1359 2148 438 1464 163 733 1018 828 1379 2120 1949 439 2054 534 876 1845 1997 1076 1846 1561 1143 2074 535 345 1257 1504 1333 1124 440 2112 1903 868 51 830 1011 1410 679 660 1933 822 1905 1943 176 889 1440 1668 2001 766 386 177 6 842 918 605 472 453 1365 1679 615 197 596 2135 1128 748 957 786 1765 1746 796 1081 1670 2126 2107 483 426 1927 293 1120 740 531 1063,1
1035,36,-122,453,604,17,1838,,1849 948 1526 1478 197,0
1036,30,-98,720,540,30,1309 206,1061 1710 341 2008 270 633 849 1423,,0
1037,-21,56,453,604,42,1916 1361,,698 1559,0
1038,46,-93,604,400,30,126 1396,126 869 1348 1948 2070 712 1396 120,1905 536 1683 1757 1221 1850 740 814 1702 1369 1018 796 2054 815 1333 797 2092 1130 1445 853 1908 1131 1446 891 1039 373 1113 1280 244 614 207 688 22 1095 448 2076 1040 78 615 1318 763 134 1152 1393 1467 1578 1948 209 783 6 857 1061 765 1579 876 2116 747 322 766 174 1950 1691 785 748 193 1340 2080 1137 434 1692 915 175 1618 1452 1711 712 65 472 176 1693 121 528 1749 1453 843 140 510 177 1990 1361 529 270 2083 844 1917 197 1307 2084 345 12 1159 919 217 2104 1309 1050 1790 51 828 199 1994 1365 1143 1920 921 1384 1051 126 829 811 1126 1866 830 1903 2070 2107 2144 146 849 1589 1793 128 276 1682 406 36 1146 1627,0
1039,20,77,453,604,36,944,,1966 2023 427 912 1340 276 903 1112 523 1692 932 1882 1920 1749 1455 201 1569 1189 1104 2054 78 1627 1912 31 1171 1589 345 1922 1333 1903 22 1077 51 916 1201 859 1914 945 1363 1192 1306 128 698 1088 1905 1573 1858 1554 509 1915 2029 709 1545 871 1365 1318 36 701 2107 1309 540 483 1148 141 1965 1538 949 740 892 1766 1348,1
1040,15,105,604,453,30,352 1147,,22 744 36,0
1041,31,-92,640,480,15,1237 2002,,1048,1
1042,46,-123,452,604,15,1905,885 1435 51,1006 1314 1397 2107 1766 1926 331 298 881 2064 1470 1107 1905 129 1460 36 740 1010 1967 1324 1572 1374 2089,1
1043,54,-2,720,480,8,1905 1400 740,,1006 1744 1266 276 51 1905 1840 1862 740 317 983 1473,0
1044,57,-133,604,453,7,,,346 2046 732 1365 128 777 1905 36 664,1
1045,28,-82,604,453,13,126 1159 1396,2107 51 744 1340 1934 1302,,0
1046,15,100,453,604,16,1897,,,0
1047,40,-86,720,540,101,1237 2002,,36,0
1048,60,-95,453,604,56,649 193,1446 187 1749 402 353 821 51 700 1426 1905 222 288 1504 195 1207 1565 740 1758 1692 2143 763 1302 114,1572 166 129 1905 1609 1369 740 962 370 1610 796 833 2054 75 630 38 1833 1907 797 1278 1981 242 1648 1130 446 113 853 594 1908 1538 206 613 1094 1501 798 410 1594 299 669 1076 614 1391 22 374 559 41 78 1225 1355 467 1207 1707 2114 1911 1319 24 875 709 1819 99 2060 1394 1949 1616 784 1524 932 1302 1950 470 1913 1784 1821 1710 2080 2136 175 1914 730 619 989 1396 416 1267 712 1619 2137 1934 972 1823 1120 232 676 1749 1842 1990 2064 1361 1028 1158 1917 474 752 604 345 1881 253 1363 1326 919 993 2066 1104 457 605 531 1308 1290 1845 1993 1882 1679 14 569 51 1124 1864 1143 1365 1032 1920 903 1051 385 792 1033 1440 34 1625 1311 904 1348 1903 571 1274 849 146 2107 646 942 276 461 1534 1645 1923 36 443 850 1368,0
1049,20,77,720,487,14,687 671 2137 944,,469 1240,0
1050,10,-84,604,453,54,432 1560 367,,1391 566 1622 643 346 1666 1287 517 1749 2107 793 1475 320 859 1365 2086 161 1547 51 469 596 2059 838 1905 772 1416 2043 1845 1240 338 184 1620 1719 432 916 740 2060 1851 1318 31 1560 845 889 1258 367 917 345 1170 1363,1
1051,31,36,604,453,41,226,206 328 999,1853 390 903 51 206 2043 1785 2038 999 603 994 1858 1484,0
1052,39,-106,720,540,18,1182,,1292 643 1304 1783 194 1905 662 915 1274 483 1264,0
1053,35,105,720,540,72,,1976 361,1091 1905 610 740 1850 925 2072 1369 796 2054 297 1907 2092 427 483 853 927 1538 1982 613 798 465 1150 2112 2020 1391 1151 41 2076 1040 1410 78 1891 1318 1096 763 79 523 394 24 2096 1393 1171 339 1412 43 265 2041 1431 1875 839 1912 876 1949 44 2135 766 1913 1784 2006 2080 1914 434 915 1933 1674 638 712 2137 139 65 1915 916 953 1434 1120 1527 1268 1749 1786 325 1731 917 1990 2064 362 11 2083 1639 2046 751 1510 1325 1917 2065 2139 2084 1011 1085 1492 2029 1363 2140 771 1789 272 605 87 457 661 2141 698 957 809 1882 1309 2123 1420 1790 51 1198 1365 662 107 1920 921 1162 681 385 1014 792 1569 1643 330 182 626 1662 830 1348 1866 1903 497 1644 275 664 1589 2107 2144 405 775 1885 849 979 1460 1423 609 276 665 1590 36 517 1220,1
1054,41,-80,453,604,5,1838,,111 51 805 481,0
1055,45,-69,537,720,2,1237 2002,,1149 2136 206 845 1340,0
1056,40,-106,720,720,21,402 1976,,1391 2105,1
1057,35,105,604,453,7,907 1043,914 78 876 1363,16 297 869 1920 1458 78 876 1162 766 51 1201 68 1234 1905 1751 1257 740 1912 582,1
1058,42,12,453,604,1,1771 1810,,,0
1059,3,73,604,453,57,1155 1905,,1605 180 427 712 161 2080 1662 703 855 1938 1853 438 571 2072 1920 704 1873 439 1845 1085 1570 1912 696 1817 2140 1143 345 1257 41 744 1447 1903 51 1913 327 517 1011 878 916 1363 1933 1306 128 166 1914 43 1905 347 1430 214 1858 338 1621 1241 177 1251 2144 1365 2059 843 1679 121 2040 786 1423 587 796 1214 36 2107 483 65 1566 208 1120,0
1060,36,-116,720,480,93,1905,203 2095 1920 2080 78 502 1217 51 2136 24 1905 1130 2054 1994 1257 1131 724 807 1302 615 2034 1572 1132,502 871 2144 67 1340 1876 369 905 838 68 1073 772 2045 303 1375 1007 337 1811 36 572 1644 1912 170 1979 740 807 1611 1109 439 1913 2114 171 1143 1679 875 1411 540 1076 205 1277 1813 1914 38 1646 809 876 1613 407 1714 1446 39 240 1011 2083 1212 6 1078 308 1916 509 1313 2084 1749 1950 7 1582 845 1917 1448 276 1348 2085 1951 2119 712 578 1349 478 1550 1484 1350 412 1886 680 1920 915 1987 44 2054 1351 1753 681 346 78 313 849 1720 1553 1955 79 615 1151 1922 1587 381 1118 884 817 47 483 2091 718 1120 450 1221 2126 786 853 1054 1758 1423 1959 1691 1591 184 921 50 2060 1926 1156 687 1257 386 51 587 1123 252 1324 2061 1492 253 1526 722 957 2029 2096 1426 555 455 656 857 1159 87 288 1360 891 1092 456 2064 1729 188 1361 2098 1964 1127 792 859 189 1295 1697 1898 1429 223 1396 1128 1061 1530 1597 1296 1497 1162 1363 1933 1598 1263 1029 1967 1599 125 661 1197 1130 829 1365 1231 25 1834 2136 461 1734 1265 796 294 830 361 227 763 1266 1132 1333 1903 496 563 128 2138 195 1569 1134 1871 129 29 1972 766 297 1905 197 1336 1805 264 1872 2107 1973 868 265 1873 466 2074 701 1438 232 2041 1907 1572 2008 65 1673 702 903 568 1104 434 1908 166 2076,1
1061,39,-122,720,540,54,473 182 1905,,,0
1062,40,-4,604,453,79,51 1770,,2023 1434 712 1130 161 2080 1482 1672 1169 1435 960 2043 903 1017 1692 1502 1939 362 134 875 1749 1949 534 1104 2054 952 572 1076 2064 1143 1770 1048 1257 22 317 51 830 1391 1363 1268 1933 1126 537 613 1905 24 176 1858 889 1554 2010 2029 148 1108 481 177 1469 291 918 1688 1536 1023 1061 1907 1679 1955 853 967 1309 65 597 1433 1281 1538 740 1367 645 1063 2146 1348,0
1063,37,-120,483,604,84,,,1292 742 632 1589 1314 2068 770 1573 919 875 171 512 1612 1590 1425 1766 1304 2107 1354 353 903 804 128 425 2119 172 887 1905 563 1361 1691 701 531 1037 2016 702 1219 1153 2099 537 1802 1104 1159 367 1005 2133 1506 857 516,0
1064,38,-122,720,481,15,,1903 2089,1765 1094 236 709 2040 1936 1755 1096 51 975 712 2060 1263 1296 1357 928 1566 1907,0
1065,38,-83,604,453,11,,1435 308 1128 6 1277 177 469 1905 1955 294 1225 1302,1369 313 6 435 1662 705 2080 2146 496 276 1074 1905 2136 1922 195 822 2054 712 1548 1950 36 1092 1907 917 1143 2144,1
1066,51,4,604,453,40,185,1615 1082,368 610 1061 1182 863 1353 1122 1749 1051 1205 457 435 1095 1348 710 1920 1975 1040 1029 2107 534 265 617 1321 89 2146 991 1492 51 403 1058 1905 1548 1306 184 987 1130 129 63 767 2054 828 1994 1829 531 696 1301 1455 1202 1092 1912 427 1098 763 1093 466 1962 2083 1011 65 1858 175 1088 197 76,1
1067,39,22,604,453,60,51 344 906,,,1
1068,3,113,540,720,52,744 1905 1840,709 1128 496 51 1613 1840,,0
1069,32,-65,720,537,27,192 2013,,39 128 343 222 1905 1702 1681,0
1070,36,138,453,604,32,2123 2118 1905 1350 87,1905 2022,979,1
1071,-10,-55,719,539,16,1237 2002,,962 876 51 1333 234 1092 1582 158,1
1072,-22,17,604,453,5,2123 2124 2133,,918 957 1920 1040 502 51 1905 1751 712 2054 14 681 98,0
1073,23,-102,604,401,42,1207,2013 1207,,1
1074,54,-2,453,604,200,291 1117,687 740 1433,1749 1905 1262 592 1649,0
1075,-27,133,720,540,1,,,891 903 2064 845 114,0
1076,-18,35,720,540,99,1232 1976 1009,,2090 1905 166 610 740 1258 925 1665 2035 1092 796 2054 2128 889 1629 1000 908 1130 853 483 1926 1371 1445 1575 1982 206 1797 1834 151 891 595 1113 355 244 873 1280 1798 1132 929 596 744 1151 855 245 1318 2095 356 23 134 2059 1134 468 875 1930 709 154 1949 987 432 1986 44 1487 784 766 655 1858 1599 2080 1840 434 471 1914 1618 1396 1933 231 712 1915 65 916 935 1749 121 1860 1842 1916 1361 2064 1805 455 1972 677 474 1029 1159 1011 2084 1751 1455 771 919 1363 1104 475 142 1900 1734 1623 735 772 1845 125 1309 1679 1050 51 1494 1365 1032 1772 1920 921 2050 1051 866 1736 1274 1348 830 1903 2107 368 1589 553 1423 498 1812 36 184 1257,0
1077,37,-122,604,452,17,672 1905,1347 1292 643 709 0 1920 2107 1662 650 2102 672 51 2114 596 1410 1905 459 63 1076 1615 1693 615 1363,712 2080 2023 807 1263 845 2137 579 1738 2147 114 1615 1311 561 1302 1834 1720 656 67 989 1350 2110 1920 790 1417 1949 1569 1607 2054 876 78 1589 601 2083 1152 1361 354 1304 297 516 1789 2150 79 1143 1846 1675 459 1371 953 1067 1903 811 1780 51 1172 792 650 1790 517 1866 1011 422 1410 479 1562 14 1363 774 1268 1306 166 1914 24 252 1905 1050 1858 1516 661 1953 177 709 158 1241 6 1365 643 1897 92 349 672 577 1850 7 1185 615 1907 74 2126 587 796 36 2145 2107 1917 815 1138 1718 1908 1813 2089 1538 740,1
1078,37,-122,480,720,19,1391 451,588 1391 451 1029 1673 595 766 51 101 915 1938 1905 1306 1730 1994 1950 1538 2067,,0
1079,-21,56,604,453,6,1116 545 51 36 1445,643 1535 1905 1559 712,643 1905 1559 712 1670,0
1080,39,-77,604,453,67,2035 2107 641 884 807,1391 1365 1976 51 293 41 641 1950 680 807 345 1044,2128 1870 2041 1535 1920 2074 644 2135 474 1426 766 51 1905 712 1460 294 1257 1972 763 1368 1407 2144,1
1081,34,-118,604,451,98,161 206 153,,,0
1082,36,140,720,482,27,1941 2151,,,1
1083,-1,37,604,453,10,1182 1976,1182 121 44 2068 51 2075 1410 1905 1262 1203,687 2068 737 484 1309 891 22 232 177 1123 51 766 535 772 541 1905 712 2076 1922 2054 1015 1153 1912 1494 1797 1302 1363 21,0
1084,25,122,720,540,28,1621 1869,1393,2023 845 712 2080 1368 855 513 969 1805 38 1302 1777 1749 1445 2129 1920 913 771 334 1911 1569 1484 876 1950 810 88 1171 22 497 1333 1153 1533 51 2084 1752 1011 517 764 1933 1363 128 1876 242 2123 907 698 2114 784 1240 1905 1487 737 1554 1877 1079 72 1697 1317 766 709 681 1954 643 1869 1318 1850 786 159 36 1043 2107 644 1309 730 1832 1870 1994 740 265,0
1085,44,-117,604,453,16,1578 382,830 687 1914 2107 177 744 51 508 1905 382 1933 2054 36 1934 174 807 1907 1671,,0
1086,26,-80,403,604,199,1393 1858,1433 1257 1858,643 51 469,0
1087,48,12,720,540,116,1276 133 1339,,1738 1903 1276 1029 2041 78 194 1905 294 712 1274 1324,1
1088,56,-3,604,453,60,,1905 613 1477 1516 670,1644 2084 1914 297 853 567 1920 78 1365 51 2136 1410 794 1922 921 36 740 1279 2049 872 174 295 1104 1423 675 296 2144,0
1089,-34,-64,604,403,59,51 1257 81,1612 2015 1125,632 643 1815 1474 39 2107 227 876 1333 1905 1982 101 2098 2076 388 889 1131 1968 1913 439,1
1090,30,-98,640,427,13,1166 1863,,,0
1091,-41,174,568,426,11,,,1391 1463 2085 226 1920 875 1040 534 809 309 1805 2058 2075 51 403 1162 898 1052 1905 2054 1691 1356 2060 2022 427 1912 1582 1478 741 1275 65 2089 1363,1
1092,31,36,604,452,59,1870 1920 1968 2144,1138 39 1553 1905 365 712 1867 2076 597 1566,1920 1933 999,0
1093,-1,15,720,540,8,255,,1277,1
1094,22,114,720,405,112,709 907 936 1976 95 1043 75,,,0
1095,62,10,720,540,8,1237 2002,,1316 673,0
1096,42,12,604,453,183,968 1586,,,1
1097,44,-90,600,448,7,2046 1426,,1905,0
1098,33,-117,402,604,6,2068 473,1172 1048 795 476 483 1308,687 654 643 473 814 22 512 1612 875 2107 1503 51 1036 1905 1570 1405 438 845 741 334 1891 241 1495,0
1099,29,-81,453,604,60,1271,830 1864 121 902 44 1271 2080 876 51 1933 1257 1686 36 405 2088 290 1302 483,830 1578 902 2123 44 2090 1458 193 875 969 1365 1679 1492 766 1938 750 1905 772 1130 740 773 1186 427 1120 1363 483 703,0
1100,33,-117,604,506,31,512 1612,,1396 1225 1434 465 712 294 750 570 2033 2147 504 685 1132 1626 1873 1702 68 1569 182 11 220 2054 2073 1874 31 1475 1333 1162 858 1903 792 944 184 51 1096 2084 1429 175 859 1363 1420 43 1905 841 1972 1535 737 177 842 671 1925 2144 548 1840 1916 1365 1061 1907 1850 1793 1423 1081 2107 891 1690 2108 1348,0
1101,41,-74,720,540,5,654 483,,,0
1102,-23,-43,720,540,167,1571,1061 1199 1309 737 51 475 1905 497 1823 162 2109 795 614 482 1302 2001 1726,1710 1512 875 1679 377 796,0
1103,40,-105,604,453,17,2036 1905 642,,830 1985 863 1694 286 572 457 1920 2008 1348 1029 501 672 1365 2146 1398 1019 51 1542 1905 1130 932 921 426 1581 1092 509 1389 443 1923 1516 449 1120 1813 1901 609 642 829 1792 571 483 1704 1198 2144,0
1104,40,-4,604,453,3,606 1393,,,0
1105,40,-4,604,453,3,606 1393,,,0
1106,37,-122,720,537,170,1237 2002,,1105 1259 1193 671 1309 2107 1920 2113 969 1728 1332 128 2015 448 1955 1504 459 1845 740 267 476 146 234 1048 944 2132 1571 1934 185 1615 114 125 1324 1066 142 1363 1143 1770 1396 1715,0
1107,-21,56,604,453,45,1559,414 1559 498,,0
1108,43,13,720,540,3,1905 1840 1994,1848 1920 2031 1658 921 1621,,1
1109,13,122,604,453,18,1627,809 1865 51 1421 1410 1905 404 712 1484,809 1865 51 1421 1410 1905 404 712 410 1500 1627 1484,0
1110,40,-4,406,604,21,1238 1692,2018 1238 1692,740 1770,0
1111,37,-122,540,720,15,1842 1140 1659,,,0
1112,24,90,600,402,40,1925 1903 2137,,1909,1
1113,30,-98,453,604,10,1895,1644 792 276 1410 2054 1813 796 1363,748 1492 1982 1905 712 443 845 1434 1445 1858 483,0
1114,39,-120,604,453,3,1006 44,,2029 44 919 281 166 816 1905 740 735,1
1115,17,-92,512,512,52,2046 1426,,1277 1871 1905 1207 1428,0
1116,32,35,720,430,100,1237 2002,,1140 964 1478,0
1117,22,-80,448,604,11,51 52,1578 1017 1749 793 1118 51 1905 52 1823 36 1142 1621,1017 654 1611 632 1903 875 853 1920 1904 78 276 716 969 1679 513 1850 640 1905 1509 2076 712 2054 1933 377 289 2126 1873 828 251 1263 1318 169 1434 1423 1011 1913 43,0
1118,35,105,540,720,100,1237 2002,,979 2046 402 288 234 361 81 807 1847,0
1119,25,-100,720,540,77,2046 1426,,1424 92 1905 1239 2146 740 2035 370 796 1943 1277 611 278 315 1000 2055 1130 483 594 2037 2074 705 1112 1538 1612 1649 891 1206 1262 1725 23 1503 1207 1263 2096 1060 117 1061 1542 1912 1209 876 543 1635 1302 969 1913 174 193 1340 730 27 64 471 120 1563 1933 712 2137 491 1231 1749 436 1842 251 1324 288 769 899 992 326 2102 807 530 1011 2066 1363 401 50 87 1697 661 735 1105 439 1309 51 1938 403 1920 218 1051 1088 422 89 903 2106 737 1292 1662 1348 2125 460 1903 2107 2144 405 1108 849 2089 2126 91 461 1608 1645 1682 36,0
1120,39,22,453,604,9,283,,808 1100,0
1121,65,-147,604,453,16,1435 1499,,1314 22 33 1129 1905,0
1122,-21,56,720,540,104,1559 372,,1281 1039 1215 913 121 193 51 1905 1273 784 2137 1939 1340 1649 1627 1363,0
1123,36,138,401,603,50,979,,,1
1124,32,35,592,720,11,,,964,0
1125,42,-90,604,453,15,1901,,1277 1926 564 1572,0
1126,31,-92,604,403,4,359 1048,,1661 682 259 193 2107 29 766 1008 712 745 828,0
1127,37,-122,640,480,10,,,478 2084 517 22 792 671 1903 297 875 1920 1348 474 276 232 1679 2064 51 909 1850 1905 712 740 2137 1912 1120 702 1428 1692 1324,0
1128,47,-110,604,453,1,1265 202,,1265 2107 232 1905 202,1
1129,36,-82,600,450,15,2140 2075 366 295,,1314 1903 1734 1817 13 817 571,0
1130,46,-123,720,537,17,1006 1976 1470,1435 1749 275 1903 737 853 276 67 1393 51 1470 1976 475 1949 1905 2054 624 1933 509 1340 2033 796 763,434 616 792 22 737 1441 1040 1920 1348 2140 853 2107 1898 2080 1569 508 2092 1905 822 1130 1834 1356 1741 2049 1092 1752 2126 1257 1054 1318 548 845 290 1621 1676 917 120 1924 1011 2144 1858 2089 197,0
1131,38,-122,479,720,43,483,924 2107 1426 695 1669 404 2131,,0
1132,17,-95,604,405,57,283,,,0
1133,35,38,604,453,26,1782,,38 2029 1749 1788 336 732 331 2064 1734 51 469 1261 1410 1905 1944 1086 36 740 845 372 1164 235 1731 197,1
1134,38,-122,405,604,17,1309 547,1875 687 792 22 176 671 737 1903 924 1920 6 2107 853 743 1915 2080 78 2119 128 843 1349 1679 1426 117 51 1668 1905 695 316 712 613 1911 2076 2054 1669 404 2131 25 36 427 1230 2028 1621 411 2144 560,924 1426 51 1668 695 1669 404 2131 411,0
1135,33,-97,720,480,18,,1391 929 924 404 2131 1444 498 1048,924 404 2131,0
1136,-10,-76,604,339,23,1419,2027 1048,269 159 1589 137 2029 792 2123 160 985 2107 705 1123 529 95 51 370 453 1905 1108 1845 1504 712 1851 1059 740 125 972 626 1209,0
1137,38,-122,604,402,47,,1281 1903 1458 2096 51 1426 695 1905 1867 712 1900 36,1281 1458 2096 51 612 1426 695 1905 1867 712 1900,0
1138,-6,35,604,453,6,1426,,1391 51 1767 1976 1604 1879 1115 483,0
1139,38,-122,453,604,6,1554 124,,1138 1050 231 1903 1348 1920 78 51 206 327 1279 333 2071 1257 2137 438 730 1495 2144 1484,0
1140,42,44,430,640,41,748 1635 1800 2000,,687 1369 390 731 748 766 1905 464 2026 1993 712 470 1130 740 125 1429 2144,0
1141,30,-98,604,453,22,1166 2102 1863 1396,,,0
1142,39,-9,604,453,61,1446 671 656 1410 1916,,819 2095 687 2084 1897 1380 1391 127 144 601 161 1905 1421 2076 1460 740 916 944 1572 1110 2045 1473,0
1143,38,-122,720,540,31,1694 1405,1309 44 1838 740 120,,0
1144,15,19,604,453,5,687 1635 2070 164 197,335 51,335 792 1089 1744 1535 397 766 51 1839 24 1905 497 1124 1597 2054 712 1934 1115,0
1145,42,12,453,604,56,968 1586,,1435 830 1771 1309 1749 1810 853 193 1420 342 1267 2147 1905 217 723 613 949 1444 1945 1913,1
1146,38,-123,640,427,13,2107 1976 2105 158,,,0
1147,35,111,604,453,42,1345,,1182 1611 643 709 880 1650 2046 1914 121 1441 2079 1007 2107 1304 842 204 72 919 787 265 1365 744 1118 51 1096 772 2059 1982 1905 1817 1344 1933 712 1955 1350 1785 740 146 1593 1637 2066 290 1522 730 1027 2006 1011 1363 1352 142 824,0
1148,38,-123,604,453,15,1006 1324,,643 792 2140 1717 51 1905 1559 184 751 1048 466 1088,0
1149,35,111,604,453,44,183 1323,,,0
1150,23,-102,604,453,12,2068 476 1615,,1277 1207 91 1302,1
1151,40,-105,604,453,82,1237 2002,,2029 1259 2015 1905 596 1278 228 1840 934 670,1
1152,13,-88,720,524,1,2054 1104 2083,,,0
1153,30,70,720,482,66,490,2084 1827 1541 51 1888 1162 1976 409 1905 2114 1191 1197 1203 1363,687 44 517 1749 2107 1887 1112 1365 166 1162 1261 1140 651 1982 2114 1905 888 613 916 416 955 499 1368 670,0
1154,34,-84,453,604,18,,,1248 704 1678 1590 1475 1492 216 51 1872 1905 24 712 289 619 2088 1038 763 1610 2144,0
1155,41,-82,604,453,17,748 1905 263,1348 1332 1350 1912,687 588 1644 2029 863 1512 836 1056 1903 1920 1513 457 2140 1926 1365 166 672 2064 711 51 1492 541 1905 1691 1933 448 184 1642 740 1912 647 1120 1544 1324 664 1907 1363 2144,0
1156,35,105,604,453,40,51 361,976,166 1572 1905 943 1350 1702 1573 1980 944 2128 1092 186 223 593 297 1500 853 1445 1538 1908 1982 1649 1834 632 151 891 2001 466 873 614 22 1132 1262 1040 1410 78 1318 97 467 1873 671 1485 560 875 2096 690 635 561 1301 691 2060 2023 969 44 1487 1968 1265 1302 1802 1784 822 193 267 2043 2080 1951 2136 1840 1914 508 1933 897 675 361 1434 1120 232 2082 1416 1509 177 362 2046 677 1898 1380 2083 1417 807 252 1029 1769 345 1566 1159 771 1752 87 864 957 680 2123 51 1124 1994 921 1365 1735 2105 1920 496 792 1051 1088 1569 200 940 2069 1348 1052 830 1903 534 2107 2144 1182 849 183 1996 2033 294 572 128 609 276 184 517 1294 295 1368,1
1157,39,-77,720,537,94,1237 2002,,792 1694 402 1920 958 177 51 128 1905 849 904 1840 740 1950 1048 933 1516 1258,0
1158,33,-80,404,720,125,1435 1499,,2068 166 51 327 240 439 241,0
1159,30,-98,371,604,6,1976 113,,709 880 440 572 189 1157 1960 1905 129,0
1160,48,12,664,720,99,1276 762,,1905 1572 1276 1554 2146 740 1813 1184 1369 2072 1203 796 2054 1425 1092 1962 593 1130 1611 427 483 853 1445 1852 1538 1945 1908 1649 761 2075 614 1391 836 1928 1262 670 2076 1410 1318 1429 763 671 1855 227 949 1911 875 209 265 1486 820 857 894 1301 1801 987 284 1912 876 2023 1968 1302 1617 1136 1913 174 1950 711 1784 45 822 193 1340 175 1914 1803 101 1544 1655 656 46 1304 1748 712 176 65 509 1915 1693 361 1712 1120 2008 1749 1694 1158 1306 11 233 677 751 1177 807 1159 197 271 1344 1011 2084 142 845 1955 919 50 1142 957 69 1512 643 1309 2123 51 1124 828 847 1994 1550 1920 1051 755 274 644 792 1643 2032 293 1163 1348 1903 2107 368 1219 1423 165 1978 276 2052 1349 1368 1035 36 1960 1257,1
1161,33,-112,453,592,17,45 1229,594 1800 563 740 1478,1963 1573 342 1211 887 222 1905 1026 1048 1340 1208 1346 1962 384,1
1162,34,-117,720,480,37,2068 981 1472,1182 1172 1381 1783 981 763,,0
1163,38,-97,720,406,46,1573 1393 1976 2006,,,0
1164,39,-106,500,333,70,1435 1499,,1292 1175 1918,0
1165,33,-117,604,362,1,1887 1747,517 1887,,0
1166,34,-84,604,404,161,1391 2151 103,830 2151 1920 1123 2075 51 1905 2076 1933 36 1544 59 807 103 1258 1363,,1
1167,42,-94,521,604,3,1573 919 1905 2088,,1061 1490 561 2096 177 1503 491 365 1905 992 1328 712 719,0
1168,-29,24,720,540,34,462 2123 1766 1393 20,,709 1490 1644 1028 1215 1127 2123 737 1287 66 297 792 748 22 1914 2140 193 1766 1887 853 1920 78 276 419 1629 1976 2053 128 766 645 51 370 1619 1960 1982 1905 849 1273 1933 272 1350 1207 1746 740 1664 1785 36 2005 1098 647 20 867 1505 823 103 2006 1368 829 1363 1605 2089 2144 1077 1913 142 1220,0
1169,43,13,604,453,60,968 699 1976,,,1
1170,34,-83,540,720,52,1433 1302,,1914 1782 1749 1309 1694 809 1920 1915 876 656 1679 2064 227 51 563 1949 1905 1608 849 1751 778 712 1306 36 1873 2049 449 174 1846 796 1302 1280 466 439 1132 2023,0
1171,60,100,720,540,10,1345,1600 550 2107 1887 293 51 942 1905 712 2054 1708 120 1671,,0
1172,13,101,720,480,41,1897 792 133 1410 866,1903 2080 1905 1350 1251 1076 1621,921 845 541 161 617 864 1567 722 741 1159 1368 133 1302 1568 1179 1217 875 1588 87 1949 1607 2054 1883 2045 1076 1361 354 601 297 1589 497 1162 535 953 1485 1903 896 687 146 2084 1495 830 916 2123 1914 252 917 1905 1601 2029 1516 272 1412 1697 2020 595 1051 671 415 1251 1897 1907 596 216 1679 891 796 150 1860 1898 2107 1062 2060 274 2136 483 531 1158 1310 2013,1
1173,38,-123,719,720,24,687,,,0
1174,37,128,604,452,143,682 78 1900 921 2144,616 207 1104,434 1314 1870 1903 193 182 853 2107 1766 1348 2096 1920 1904 1926 51 1096 1789 95 909 1553 1905 129 1802 763 1434 2144 1044 483,1
1175,-21,56,604,453,21,1559,,797 480 1905 1130 647 1544,0
1176,26,73,604,339,67,944,,,1
1177,38,-122,453,604,86,1237 2002,,18 1905 740 407 1850 1924 259 370 796 833 981 2054 722 1092 297 1981 927 483 853 1538 206 1279 1464 1668 2112 817 855 744 1318 763 837 1300 301 24 875 209 1153 1597 561 1301 2023 654 1061 1209 1376 1968 1302 1506 470 1950 748 1821 785 1229 1932 1396 804 508 175 1285 1193 1933 231 712 65 768 546 861 2119 1842 177 1324 1694 899 474 1621 659 807 1566 1973 308 1011 1751 1085 123 179 919 1363 2140 1104 845 1937 2122 180 365 717 1309 51 1938 1699 737 1348 2088 1126 1903 571 238 1644 275 2070 2107 2144 1182 849 146 1867 128 535 276 646 36 776 517 2034,0
1178,56,10,540,720,7,2046 1426,,500 11 1920 622 78 51 1437 293 1239 1922 41 2054 36 949 91 1912 317 2083 1605 2034,0
